Simulation Summary							
PALETS PLATAFORMA							
00:00:00							
Container	Loaded	Vol. Effi.	Area Effi.	SKU	Loaded	Column #	Customer Product Code
PALET-001(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	1	999999
PALET-001(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	2	999999
PALET-001(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	3	999999
PALET-001(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	4	999999
PALET-002(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	1	999999
PALET-002(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	2	999999
PALET-002(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	3	999999
PALET-002(731-1984517-AL)	100.0	100.0	32.0	20933-JAMON 3D AL VACIO	8.0	4	999999
PALET-003(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	1	999999
PALET-003(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	2	999999
PALET-003(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	3	999999
PALET-003(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	4	999999
PALET-004(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	1	999999
PALET-004(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	2	999999
PALET-004(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	3	999999
PALET-004(731-1984517-AL)	100.0	100.0	32.0	20936-SOLOMILLO AL VACIO	8.0	4	999999
PALET-005(731-1984517-AL)	100.0	100.0	16.0	20933-JAMON 3D AL VACIO	8.0	2	999999
PALET-005(731-1984517-AL)	100.0	100.0	16.0	20933-JAMON 3D AL VACIO	8.0	4	999999
PALET-006(731-1984517-AL)	100.0	100.0	16.0	20942-PALETA 3D VACIO	8.0	1	999999
PALET-006(731-1984517-AL)	100.0	100.0	16.0	20942-PALETA 3D VACIO	8.0	4	999999
